winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity
422,759,6,4.9,1,0,69,1,19,5.0,3.0
33,819,6,4.9,1,0,74,2,18,4.0,2.0
447,778,6,4.8,1,0,57,2,11,5.0,3.0
447,778,6,4.8,1,0,57,1,11,5.0,3.0
447,778,6,4.8,2,0,57,1,11,5.0,3.0
447,778,6,4.8,2,0,57,1,11,5.0,3.0
447,778,6,4.8,2,0,57,3,11,5.0,3.0
447,778,6,4.8,1,0,57,1,11,5.0,3.0
447,779,6,4.8,1,0,57,3,11,5.0,3.0
447,778,6,4.8,1,0,57,2,11,5.0,3.0
447,779,6,4.8,1,0,57,1,11,5.0,3.0
353,241,6,4.8,1,0,57,1,11,5.0,3.0
447,779,6,4.8,1,0,57,1,11,5.0,3.0
447,778,4,4.8,1,0,57,1,11,5.0,3.0
428,231,3,4.8,1,0,44,3,8,5.0,1.0
353,206,6,4.8,1,0,57,1,11,5.0,3.0
447,778,4,4.8,1,0,57,1,11,5.0,3.0
447,779,6,4.8,1,0,57,1,11,5.0,3.0
80,252,6,4.8,1,0,35,2,10,4.0,3.0
447,779,6,4.8,1,0,57,1,11,5.0,3.0
441,762,6,4.8,1,0,34,2,15,4.0,3.0
447,779,6,4.8,1,0,57,1,11,5.0,3.0
183,584,6,4.8,1,0,57,1,11,5.0,3.0
428,231,2,4.8,1,0,44,2,8,5.0,1.0
447,779,6,4.8,1,0,57,1,11,5.0,3.0
447,778,5,4.8,1,0,57,1,11,5.0,3.0
428,233,3,4.8,1,0,44,2,8,5.0,1.0
24,388,6,4.8,1,0,53,1,9,4.0,3.0
447,779,6,4.8,1,0,57,1,11,5.0,3.0
447,779,6,4.8,1,0,57,1,11,5.0,3.0
346,793,6,4.8,1,0,69,1,19,5.0,3.0
447,779,5,4.8,1,0,57,1,11,5.0,3.0
428,231,2,4.8,1,0,44,2,8,5.0,1.0
103,643,6,4.8,1,0,57,1,11,5.0,3.0
456,579,6,4.8,1,0,57,1,11,5.0,3.0
422,759,6,4.8,1,0,69,1,19,5.0,3.0
183,584,6,4.8,1,0,57,1,11,5.0,3.0
422,759,6,4.8,1,0,69,1,19,5.0,3.0
24,388,6,4.8,1,0,53,1,9,4.0,3.0
409,456,6,4.8,1,0,59,1,12,4.0,3.0
422,759,6,4.8,1,0,69,1,19,5.0,3.0
24,388,6,4.8,1,0,53,1,9,4.0,3.0
422,759,6,4.8,1,0,69,1,19,5.0,3.0
171,404,6,4.8,1,0,8,1,10,4.0,3.0
268,343,5,4.8,1,0,59,2,12,4.0,3.0
24,388,6,4.8,1,0,53,1,9,4.0,3.0
447,779,6,4.7,1,0,57,1,11,5.0,3.0
447,786,6,4.7,1,0,57,2,11,5.0,3.0
447,786,6,4.7,1,0,57,2,11,5.0,3.0
447,786,6,4.7,1,0,57,2,11,5.0,3.0
447,778,6,4.7,1,0,57,1,11,5.0,3.0
447,778,6,4.7,1,0,57,1,11,5.0,3.0
447,778,6,4.7,1,0,57,1,11,5.0,3.0
447,778,6,4.7,1,0,57,1,11,5.0,3.0
447,786,6,4.7,1,0,57,2,11,5.0,3.0
447,778,6,4.7,1,0,57,1,11,5.0,3.0
447,778,6,4.7,1,0,57,2,11,5.0,3.0
447,778,6,4.7,1,0,57,2,11,5.0,3.0
447,786,6,4.7,1,0,57,1,11,5.0,3.0
447,786,6,4.7,1,0,57,2,11,5.0,3.0
447,778,6,4.7,2,0,57,1,11,5.0,3.0
447,778,5,4.7,2,0,57,1,11,5.0,3.0
447,778,5,4.7,1,0,57,1,11,5.0,3.0
447,779,6,4.7,1,0,57,1,11,5.0,3.0
447,778,5,4.7,1,0,57,1,11,5.0,3.0
353,206,6,4.7,1,0,57,1,11,5.0,3.0
447,778,5,4.7,1,0,57,1,11,5.0,3.0
447,778,5,4.7,1,0,57,1,11,5.0,3.0
447,779,6,4.7,1,0,57,1,11,5.0,3.0
353,241,6,4.7,1,0,57,1,11,5.0,3.0
80,252,6,4.7,1,0,35,1,10,4.0,3.0
80,252,6,4.7,1,0,35,1,10,4.0,3.0
447,779,6,4.7,1,0,57,2,11,5.0,3.0
297,132,5,4.7,1,0,59,1,13,3.0,3.0
80,252,6,4.7,1,0,35,1,10,4.0,3.0
80,252,6,4.7,1,0,35,1,10,4.0,3.0
461,413,6,4.7,1,0,59,1,12,4.0,3.0
447,778,5,4.7,1,0,57,1,11,5.0,3.0
447,779,6,4.7,1,0,57,1,11,5.0,3.0
196,463,6,4.7,1,0,57,1,11,5.0,3.0
183,584,6,4.7,1,0,57,1,11,5.0,3.0
447,778,5,4.7,1,0,57,1,11,5.0,3.0
196,462,6,4.7,1,0,57,1,11,5.0,3.0
183,584,6,4.7,1,0,57,1,11,5.0,3.0
183,584,6,4.7,1,0,57,1,11,5.0,3.0
80,252,6,4.7,1,0,35,1,10,4.0,3.0
422,35,6,4.7,1,0,69,1,19,5.0,3.0
380,411,6,4.7,1,0,69,1,19,5.0,3.0
447,778,5,4.7,1,0,57,1,11,5.0,3.0
91,750,6,4.7,1,0,15,1,18,4.0,2.0
59,193,6,4.7,1,0,59,2,12,4.0,3.0
390,469,6,4.7,1,0,59,2,12,4.0,3.0
